"category","Reproductive_mode","year","site","perccover","yearind","perccoverLog"
"Common","Broadcaster",2001,"BUIS-Western Spur and Groove",0.941857849752586,0,-0.0260146383180703
"Common","Broadcaster",2001,"VIIS-Mennebeck",3.23643860531119,0,0.510067372939777
"Common","Broadcaster",2001,"VIIS-Newfound",0.70111903142353,0,-0.15420824408474
"Common","Broadcaster",2001,"VIIS-Yawzi",0.37118929942843,0,-0.430404552027986
"Common","Broadcaster",2002,"BUIS-South Fore Reef",1.33935734635735,1,0.126896464126367
"Common","Broadcaster",2002,"BUIS-Western Spur and Groove",1.06518968361074,1,0.0274269516341337
"Common","Broadcaster",2002,"VIIS-Mennebeck",3.87787059356414,1,0.588593312365502
"Common","Broadcaster",2002,"VIIS-Newfound",1.19266272866273,1,0.0765176475349978
"Common","Broadcaster",2002,"VIIS-Yawzi",0.460982639327467,1,-0.336315429895066
"Common","Broadcaster",2003,"BUIS-South Fore Reef",1.12458505606781,2,0.0509923081344302
"Common","Broadcaster",2003,"BUIS-Western Spur and Groove",0.96471174897899,2,-0.0156024322815059
"Common","Broadcaster",2003,"VIIS-Haulover",2.87715012980344,2,0.458962523984205
"Common","Broadcaster",2003,"VIIS-Mennebeck",4.18983240752806,2,0.622196651619891
"Common","Broadcaster",2003,"VIIS-Newfound",0.699232892159772,2,-0.155378150528833
"Common","Broadcaster",2003,"VIIS-Yawzi",0.621220580186097,2,-0.206754165124407
"Common","Broadcaster",2004,"BUIS-South Fore Reef",2.72691921041921,3,0.435672271425724
"Common","Broadcaster",2004,"BUIS-Western Spur and Groove",0.84865904425687,3,-0.07126675609179
"Common","Broadcaster",2004,"VIIS-Haulover",3.10350690661587,3,0.49185271621145
"Common","Broadcaster",2004,"VIIS-Mennebeck",4.7660326469559,3,0.678157012904318
"Common","Broadcaster",2004,"VIIS-Newfound",0.817723488556588,3,-0.0873935272521683
"Common","Broadcaster",2004,"VIIS-Yawzi",0.542227709710468,3,-0.265818292239022
"Common","Broadcaster",2005,"BUIS-South Fore Reef",2.94844753813569,4,0.469593404760637
"Common","Broadcaster",2005,"BUIS-Western Spur and Groove",0.983045889295889,4,-0.00742620851291549
"Common","Broadcaster",2005,"VIIS-Haulover",3.15013968198651,4,0.498329811494678
"Common","Broadcaster",2005,"VIIS-Mennebeck",4.02007494421288,4,0.604234149491115
"Common","Broadcaster",2005,"VIIS-Newfound",1.25792331435623,4,0.0996541664136568
